target0	40.930	-123.575	40.991	-123.514
target1	40.934	-123.572	40.995	-123.510
target2	42.574	-123.617	42.636	-123.555
target3	40.900	-123.495	40.917	-123.478
target4	43.731	-122.087	43.746	-122.072


